,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
1933,¿Se llamaba MacLaren? Sí.,¿Ayudaría si te dijera que trabajo con él?,Sí. Ayudaría mucho.,¿Y está todo bien con este asunto del FBI?,"Sí, todo está bien.",Muy bien.,Bueno. Es tarde.,Una pregunta más.,¿Por qué estás aquí?,Tendría mucho sentido.,Está bien.,¿En mi apartamento?
1934,Y está a media hora de distancia.,El equipo al que debíamos entregarla debe haber tenido otros planes.,Ningún plan sobrevive el contacto con el pasado.,"Y, en segundo lugar, ¿no preferirías que hackeara su sistema?","Sí, por favor.","No quiero derribar nuestro único plan, pero...",¿Cómo lo hacemos sin que Delaney se entere?,Ya violé el Protocolo 6. Tal vez deba decírselo.,No. ¿Qué sucede?,¿Puedes hallar un mapa del complejo Van Huizen en esa antigüedad?,"En primer lugar, es un equipo de última generación actual.",La escuela llamó a mi mamá. No fui a un examen de ciencia ayer.
1935,No tenemos tiempo. Se llevó solo un miligramo.,Sé que para usted fue muy difícil confesarlo.,Y debo admitir que lo disfruté un poco.,¿Y puedo librarme de usted ahora?,Claro.,Bueno. No le robo más tiempo.,Y alcánceme la causa esa de Liliana Coloto,para sobreseerla y archivarla.,Este asunto se acabó.,"Pero creo que estaba cerca, y queremos que continúe su trabajo.",Aún no se ha librado de mí.,Compromiso. Ahora los pibes se matan de risa
1936,Pero tal vez la llame yo antes.,Estaré a la espera.,"Por cierto, estuvimos a esto de intervenir.",¿Recibiste mi mensaje?,"Sí, lo siento.","El Senséi nos aconsejó arriesgar todo y avanzar,",y no entiendo bien qué quiso decir.,Quiere decir lo que parece.,¿Sí?,Le salvó la vida. ¿A quién? ¿A Gleason?,Genial. Me alegró el día.,Avanza.
1937,¿Dónde está Greg? Está enfermo. Lo cubro yo.,Repáralo. El Sr. Corrigan tiene una teleconferencia a las 8:45.,No hay problema.,Debo hacer una llamada. ¿Tienes una de repuesto?,"Sí, claro. Pero debo meterme ahí detrás.","Hal, debo dejar que el técnico repare la computadora.","Iré a otra oficina. Sí, te pondré en espera.",Me llevará dos minutos.,Supongo que la apagarás y la encenderás.,Greg. Gracias por venir.,Soy Vincent. La pantalla se congeló.,"No, señor."
1938,Aquí estoy.,¿Qué es tan importante?,Iba a preguntarte lo mismo. Me escribiste.,¿Tu socio también murió de un aneurisma?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,¿Yo qué?,"Sí, a mí también.",¿Hola?
1939,Iba a preguntarte lo mismo. Me escribiste.,¿Yo qué?,"Sí, a mí también.",¿Y te convertiste en el único dueño?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,¿Tu socio también murió de un aneurisma?,Sí.,¿Hola?
1940,para una tarea específica?,"Sí, y yo soy una...",Programadora.,"Salté delante de ti, ¿recuerdas?","Claro, es cierto.","Gracias por salvarme, enfermera.",Ahora cállate y cúrate. Debo concentrarme.,"Walt, pensé...",Soy el viajero 4112.,Sí. Lo siento. Estoy drogado.,Me dispararon.,Lo siento.
1941,Es lo que mejor hacemos.,"Bueno, es...",Entre las dos mejores.,"Ya tenemos uno. Mañana a las tres, ¿recuerdas?","Te escribí. Oh, Dios. Cierto.",Le pagamos a alguien para tener una conversación.,"Bueno, volveré de mi mamá y me prepararé.",Kat.,Mañana a las tres.,¿Es necesario hablar de esto ahora?,¿Cuándo es buen momento? ¿Agendamos una cita?,Estaré ahí.
1942,...había una opción.,Lo tendré para ti para última hora.,"Gracias. Preferiría no necesitarlo, pero...",¿Ha ocurrido antes?,Parece que sí. Bueno.,Les diré que tenemos uno. Inventa una identidad para Grace.,"Grace Day, especialista del FBI en comportamiento social inapropiado.",Que conste que me ofenden tus instrucciones.,"¿Qué parte? ""Intenta no hablar"".",Mensaje entrante en la oscura.,"""Programador requerido con urgencia para resolver mensajero corrompido"".",Podrás presentar tus objeciones por escrito al director en unos siglos.
1943,Ayer te veías nervioso por compartir.,"Sí, era demasiado qué asimilar.",Pero he pensado en lo que todos dijeron.,"Quizás, ¿es un problema?",Quizás.,¿Cómo están las estrellas?,Aún brillan.,"Desde aquí, puedo ver nueve reinos y diez billones de almas.",¿Recuerdas lo que te enseñé sobre la Convergencia?,"Oye, Jeff.",¿Has estado bebiendo?,Sí.
1944,"No sabía que Ingram pudiera acceder a la misma droga,",o que te fuera a hacer sentir como si hubieras perdido...,"Lo siento, Kat.",¿Quieres que corte la tuya en trocitos?,"Sí, muy gracioso.",Estaré molestándote otra vez para la mañana.,¿Trevor?,Trevor.,¿Qué ocurre?,Oye.,Huele bien.,No sé qué ocurrió.
1945,"De hecho, señora,",esperaba que considerara un aplazamiento.,Perdón por el retraso.,¿En serio? Pearson. Nos vimos dos veces.,Claro. Lo siento.,"Permítame ser franco, su señoría.",Creo que mi cliente temía una posible represalia del Sr. Conniker,si se defendía ella misma.,Vine para recordarle que no está sola.,Confío en que lo que haya dicho mi cliente será borrado del registro.,"No se nos notificó que vendría, ¿señor...?",Philip...
1946,¿Nos dirás adónde te ibas?,"Bueno, eso salió bien.",Al diablo el Protocolo 3. Quiero matar a ese hombre.,¿Puedes conseguirme dinero? Tengo unos gastos inesperados.,"Claro, pero mañana.",Las apuestas llevan un día. ¿Cuánto necesitas?,¿En serio?,Un sistema de referencia establece,la velocidad de un objeto respecto del punto de referencia.,"Como tu abogado, te aconsejo no hacerlo.",Philip. ¿Qué sucede?,Bien. ¿Cómo lo pruebas?
1947,La cárcel está llena de Nanos.,Su único delito es no tener la pasta para pagarse un abogado decente y capaz.,¿Y tú qué quieres?,"Lo sabes, ¿verdad?","Siento eso con usted, sí.",Bien.,Pero estoy cansado de que me digan quién debo ser.,Qué debo hacer. Quiero definir mi propio futuro.,Tengo un libro que te gustará.,¿Acabar allí con él?,"Porque si confiesas que mentiste, serías cómplice de asesinato.",Toma.
1948,Lidié todo el día con un psicópata.,"Bueno, lo reemplazaré a primera hora.","Disculpe, ¿podría mostrarme su identificación?",¿Ella trabaja para usted?,"Marcy es mi socia, sí.",¿En qué puesto?,"Bueno, eso...","...no es de tu incumbencia, Ken.","Siento la interrupción. Un gusto volver a verte, David.","""Agente especial Grant MacLaren"". ¿Y usted es...?",Ken Palfy.,¿Aaron Donner? ¿Les dijiste algo?
1949,Entendido.,En camino. Solo debo terminar algo en la escuela.,"Trevor, tu examen no es hasta las 15:00.",¿Ya lo terminaste?,"Sí, y quería devolverle el favor.",Fue algo que me ayudó durante...,...una época solitaria.,Gracias.,Que lo disfrute.,"Srta. Day, estoy aquí para darle las gracias.",Por el libro que me prestó. Me gustó mucho.,Hickman.
1950,Verifiquen su transmisor. Véanlo ustedes mismos.,¡No!,Al agente MacLaren lo enviaron para informarme sobre mi primera misión.,¿Usted es uno de estos viajeros?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,"Si yo caigo, caerás también. Ojalá no hubieras dicho eso.","¿Eso es cierto, agente especial MacLaren?",¿Hola?
1951,Genial. Es realmente...,Debería...,"Sí, no quiero interrumpirla.",Bueno. ¿Está seguro?,"Sí, tengo...",Pero... definitivamente.,Bueno. Igualmente.,Es decir...,Sígame.,Solo iba a preguntarle...,Está ocupada. Regresaré luego.,¿No crees que te lo habría dicho si tuviéramos una misión?
1952,"Sí, tengo...",Pero... definitivamente.,Bueno. Igualmente.,¿No crees que te lo habría dicho si tuviéramos una misión?,Quizás haya una de otro equipo. Ha pasado mucho tiempo.,Dos mil ciento sesenta y tres horas.,No es que las cuente.,Realmente eres un optimista.,"Sí, realmente lo soy.",Es decir...,Sígame.,Puedes bajar si quieres.
1953,¿Hola?,"Hola, soy yo.",Qué gran sorpresa.,y compre algo especial? ¿Tienes algún antojo?,"Sí, alguna carne ahumada.",¿Carne?,Necesito el hierro.,¿Por qué ahumada?,"Nadie tiene antojo de brócoli, Grant, y tú te ofreciste.",Qué graciosa.,"Oye, ¿quieres que pase por la tienda","Kat, tengo a alguien en la otra línea, te llamaré."
1954,MACLAREN GALA DE CARIDAD,Eres tú.,Sí.,¿Puedes hackear su servidor?,Claro que sí.,Tenemos compañía.,Tienes que esconderte.,Tú tienes que irte.,Vete.,Busca a Vincent Ingram.,No hay indicio de que haya estado. No significa que sea así.,"¡Vamos, BB8, apúrate!"
1955,Tomo lo que el mundo me arroje.,Comenzando ahora.,Suerte de que no haya sido aguacate.,de intentar manipular el sistema político?,"Supongo que si fuera del futuro,",sabría la respuesta.,"Mira, Rockwell no tiene credenciales ni experiencia.","En otras palabras, es un proveedor de noticias falsas.","Y si no detiene esto, alguien saldrá herido.",Sr. Sosa.,¿Qué cree que busca Rockwell acusándolo,Disculpe.
1956,"Philip, recibimos el componente. Estamos regresando.","Tranquila, en internet somos todos valientes.",Son niños en un sótano.,¿Aún tienes el email?,Sí. Cárgalo.,Primer segmento. Sígueme.,"Chris, eso es ir muy lejos. Vamos.",Corre sonido.,El intento de asesinato de Daniel Sosa esta mañana,¿Que obtuvieron mi número para amenazar tu vida?,"Si no fuera por Katie Sosa, podría estar de acuerdo.",y la muerte de su esposa no fueron accidentales.
1957,Eso hacemos. Está programado en el director.,"Bueno, pero aun así, no estuvieron juntos más de... ¿un año?",Alcanza para crear conexión real.,¿Es doloroso para un anfitrión que una nueva conciencia sea implantada?,"Sí, pero razonablemente rápido.",Lo haces sonar como si un favor.,Mi anfitrión se habría desangrado solo en el hueco de un elevador.,Kat hubiera sido viuda.,"Y la mayoría del bien que hicimos, jamás habría ocurrido.",No sé cuán real puede ser.,"Somos tan humanos como tú, Jo.","Así que sí, es un favor."
1958,para minimizar las convulsiones.,"La gente normal no se opera a sí misma, Marcy.",Quizá solo Terminator. Es mínimamente invasiva.,Me habrías hecho ir al hospital. ¡Sí! ¿Una cirugía?,"Sí, o sea... ¡Mira este lugar!",Solo es un poco de sangre.,"No, no es así.",No es así. ¡Esto es mucha sangre!,¿Cómo no lo ves?,No te preocupes. Limpiaré todo. No se trata de limpiar.,Que hagas algo así sola es una locura.,Es decir...
1959,No.,"No, con esto violo el protocolo.","Nuestra misión es salvar al mundo, Srta. Day.",Gracias por llamarme. ¿Nos das un momento?,"Sí, claro, por supuesto. Yo voy a...",Gracias.,¿Qué sucedió? Lo siento.,Le dije mil veces que no...,"...me trajera al hospital. No, está bien. Es lo correcto.",Vengo del futuro.,Agente MacLaren. David.,¿Te dijeron qué te pasa? ¿Quieres ver tu ficha?
1960,¿Cuándo aprenderás que no soy un idiota?,"Si vuelves a mi trabajo, pediré una orden de alejamiento.",LLAMADA DE PHILIP PEARSON,¿Podrías traerme más jugo?,"Sí, claro.",¿Y usted cómo anda?,Y yo acá estoy.,"No, digo, solo, o se casó... No...","La verdad que no, me parece que yo ya",PHILIP PEARSON 12 LLAMADAS PERDIDAS,David.,a esta altura...
1961,Diseñó un código secreto que una facción del futuro está desesperada por conseguir.,¿Qué facción?,Un grupo intenta derribar al director con mi código.,¿Es tan difícil de creer?,Sí. Definitivamente.,Cometí un error que debe corregirse.,Una hacker con corazón de oro.,Son programadores.,Ella es la favorita del director. Solo cuando no estás tú.,"Lo oculto aquí, donde es inútil. No es inútil.",¿De qué te sirve en el siglo XXI? Intento salvar la vida de alguien.,¿Y mi código salvará una vida? Ya lo verás.
1962,Ella es la favorita del director. Solo cuando no estás tú.,¿Y mi código salvará una vida? Ya lo verás.,"No te preocupes, lo destruiré en cuanto haya acabado.",Él puede ocuparse. ¿Sabes preparar comida?,"Sí, claro.",¿Y usted cómo anda?,Y yo acá estoy.,"No, digo, solo, o se casó... No...","La verdad que no, me parece que yo ya","Espera, ¿lo necesitas ahora?",Estaba por hacer la cena.,a esta altura...
1963,Pero es cierto.,"Desconocido 47,5549 N, 122,0652 O",DEJE EL TELÉFONO,¿Perrow? Está a salvo.,Aunque tal vez tenga el cuello sensible,tras haberle quitado el comunicador que les dejó colocar.,"Déjala ir, Ingram. Claro. En cuanto acabemos con esto.",Quiero proponer una tregua.,"Secuestraste y torturaste a mi equipo,","Buenas tardes, agente MacLaren.",¿Dónde está?,mataste a viajeros en todo el mundo.
1964,"Tres, cuatro, seis, ocho,","si quieres volver a ver a tu esposa, sigue esta simple instrucción:",fuera de mi camino.,"Jefe, ha falsificado cosas antes. ¿Era Kathryn?",Sí. Y responde su buzón de voz.,¿Qué quiere? Una tregua.,Al carajo con eso.,"Irá ante el director a enfrentar su castigo,",pero quiere que nos apartemos para preparar todo para su hijo.,Me mostró un video. La tiene encerrada.,¿Está herida? No lo sé.,Kat es su seguro.
1965,¿Me quieren a mí?,"¿Qué hice? David, por favor.",Responde para que podamos salir de aquí.,"y, desde todo punto de vista, era una persona diferente?",Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,Bueno.,¿Un día las capacidades cognitivas de Marcy cambiaron,¿Hola?
1966,Cuentas con el secreto profesional.,No eres mi doctora. David.,Ella es doctora. ¿Marcy Warton?,¿Y le creíste?,"Sí, conocí a su jefe, Grant MacLaren. Él es real. Fui a su oficina.",Me matará. Hablé en menos de cinco segundos.,David. Marcy Warton no es una agente del FBI.,Es una viajera.,Del futuro.,En el FBI. Encubierta. Tiene misiones secretas.,Ya dije demasiado.,¿Una qué?
1967,Yo también te amo.,Quería despedirme.,Tengo miedo. No temas.,¿Te quedarás conmigo?,Si eso quieres.,"Gracias, Vincent.",Gracias.,"Gracias, Vincent.",Fui parte del programa de prueba original para la transferencia de conciencia...,"Lo lograste, Simon.",El dispositivo funciona.,...algo que debíamos dominar antes de siquiera soñar
1968,UNA SERIE ORIGINAL DE NETFLIX,Helix.,Sandstorm.,Sandstorm ¿Lo tendrás mañana?,Helix 2777 Sí. Al mediodía.,¿Lo trajiste?,¿Lo trajiste?,Mantenlo fresco y seco.,Ya no deberíamos contactarnos en foros.,Pruébalo.,Helix 2777 No hay problema.,Eliminemos el rastro aquí.
1969,fue prepararme para ser un mártir.,"Todos tenemos un papel en el gran plan. Sí, claro.","Una pregunta: la mujer en el campo de estasis,",¿Sobrevivió?,"Sí, así fue.","Sí, así fue.",Fueron buenos tiempos.,Parece que te está yendo muy bien.,Vi en Facebook las fotos con tus alumnos.,¿qué era para ti? ¿Valía la pena arriesgarte?,Era alguien a quien quería y que no debía estar en el avión.,No puedo creer que seas un sensei.
1970,¿qué era para ti? ¿Valía la pena arriesgarte?,Era alguien a quien quería y que no debía estar en el avión.,¿Sobrevivió?,"Será rápido, ¿verdad?",Gracias. Sí.,Gracias por entenderlo. Hablemos del traspaso de poderes.,Me encargaré de la transferencia. ¿Y qué hay de la prensa?,Porque sólo llevas una semana allí y va a parecer...,"Contigo, ha parecido una eternidad. Lo sé.","Sí, así fue.",Alguien lo logró.,"Quiero decir, es como la presidencia."
1971,Ese juramento fue primero.,"Técnicamente, no es... Bueno.",Estoy improvisando.,¿Puedes llevarme?,Claro.,Bueno. No le robo más tiempo.,Y alcánceme la causa esa de Liliana Coloto,para sobreseerla y archivarla.,Este asunto se acabó.,Gracias.,Oye.,Compromiso. Ahora los pibes se matan de risa
1972,Trevor.,"Trevor, ¿dónde estás?",Adelante.,No podía hablar. ¿Ven eso?,"Sí, así es.",Hammer... ¿Quiero saber qué hará por nosotros?,¿Qué haré por ustedes?,"Bueno, lo primero que puedo hacer es mejorar su software.",En segundo lugar... No te hablo de eso.,Trevor.,Lo siento. Estaba con mis padres.,"Hammer, te hablo de la potencia de fuego."
1973,Pongan estas minas antipersonales ahí y ahí.,Podemos hacerlo.,Escóndanlas lo mejor posible y traigan los cables.,"Sé que tienes un problema conmigo, pero debes superarlo, ¿sí?","Si el director nos une, debe tener un motivo.",No debemos pensar en eso.,Parecemos dos discípulos en desacuerdo.,No quiero hablar de mitología. Somos discípulos.,¿Qué vas a hacer? Lo que intento decir...,¿Sigues las órdenes de tu estratega?,Deberías hacer lo mismo.,"No me toques, Hall. Tranquilo. Relájate."
1974,"Sí, esto servirá.",No pensé que el director los dejaría acercarse tanto.,No podemos esperarlo. Apunten al centro.,"Lo siento, no te vi. ¿Estás bien?",Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,Disparen a lo mismo que yo.,¡Chocamos!,¿Hola?
1975,No hay problema. Escogeremos un día.,Espera. Es hoy.,¿Qué posibilidad hay?,¿Es por mi cumpleaños?,Sí. Todos se merecen un regalo de cumpleaños.,"No es nueva, pero es para poner tus cosas cuando salgas.",Mi mamá dice que es mala suerte regalar un bolso sin dinero dentro.,Creo que por eso siempre pido un bolso nuevo cada Navidad.,Solo nos resta descifrar tu edad.,"Bueno, una en 365, pero...",...ya que decidimos que es hoy...,Supongo que entre 22 y 26.
1976,Pero si quieres puedes ser mi amiga.,Mi mejor amiga por siempre.,Y no le digo eso a cualquiera.,"¿Se acabó, agente Hall?","Sí, eso creo, Anna.","¿Está de acuerdo, agente MacLaren?",Claro.,Debo irme. Es tarde.,¿Para qué?,Las cuatro.,Cómo pasa el tiempo.,¿Mamá? ¿Papá?
1977,Y no le digo eso a cualquiera.,Las cuatro.,Cómo pasa el tiempo.,"¿Está de acuerdo, agente MacLaren?",Claro.,Bueno. No le robo más tiempo.,Y alcánceme la causa esa de Liliana Coloto,para sobreseerla y archivarla.,Este asunto se acabó.,"¿Se acabó, agente Hall?","Sí, eso creo, Anna.",Compromiso. Ahora los pibes se matan de risa
